epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
169,7768.88,0.4549,0.41374,0.03674,0.8683,0.70486,0.75546,0.371,0.70978,0.50011,0.06147,3.32687e-05,3.32687e-05,3.32687e-05
170,7814.42,0.43983,0.42489,0.03493,0.82916,0.74149,0.75915,0.36468,0.71372,0.49351,0.06204,3.14133e-05,3.14133e-05,3.14133e-05
171,7859.92,0.45631,0.42893,0.03419,0.87123,0.73264,0.77727,0.38225,0.70404,0.48748,0.06084,2.96121e-05,2.96121e-05,2.96121e-05
172,7906.45,0.46213,0.42163,0.03961,0.86246,0.71851,0.76856,0.36086,0.71559,0.49482,0.0635,2.78656e-05,2.78656e-05,2.78656e-05
173,7952.46,0.44089,0.41321,0.03146,0.87108,0.72917,0.77021,0.36555,0.71312,0.49516,0.0622,2.61743e-05,2.61743e-05,2.61743e-05
174,7998.3,0.47123,0.42763,0.03362,0.85728,0.73001,0.76357,0.36865,0.71503,0.4932,0.06186,2.45384e-05,2.45384e-05,2.45384e-05
175,8044.1,0.46587,0.41716,0.04742,0.84111,0.71687,0.76638,0.36771,0.7153,0.49531,0.06246,2.29585e-05,2.29585e-05,2.29585e-05
176,8089.92,0.44476,0.41774,0.05017,0.86521,0.70139,0.75883,0.35332,0.72867,0.49926,0.06584,2.1435e-05,2.1435e-05,2.1435e-05
177,8135.82,0.45063,0.40819,0.03454,0.85723,0.70885,0.76167,0.36429,0.71979,0.50494,0.06463,1.99681e-05,1.99681e-05,1.99681e-05
178,8181.8,0.44627,0.41609,0.0414,0.84763,0.71467,0.76518,0.36677,0.71766,0.50577,0.06415,1.85583e-05,1.85583e-05,1.85583e-05
