epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
81,3422.41,0.67239,0.56298,0.06153,0.49652,0.59581,0.48025,0.17857,0.75417,0.60565,0.06137,0.000197389,0.000197389,0.000197389
82,3464.33,0.71911,0.6101,0.06793,0.31172,0.52778,0.29026,0.11733,0.77793,0.69681,0.07127,0.000195165,0.000195165,0.000195165
83,3506.53,0.6856,0.59829,0.08183,0.54514,0.52017,0.47721,0.18226,0.74337,0.63283,0.0589,0.00019293,0.00019293,0.00019293
84,3548.78,0.67794,0.62456,0.06412,0.55271,0.59375,0.46294,0.17605,0.75183,0.60529,0.06257,0.000190685,0.000190685,0.000190685
85,3592.78,0.65901,0.58209,0.06204,0.38931,0.61111,0.3801,0.14149,0.78636,0.61753,0.07119,0.00018843,0.00018843,0.00018843
86,3636.02,0.64684,0.56776,0.05284,0.53602,0.57292,0.45023,0.16754,0.79157,0.59763,0.07048,0.000186167,0.000186167,0.000186167
87,3678.41,0.71209,0.53745,0.06476,0.50803,0.59375,0.46534,0.17754,0.76947,0.63338,0.06358,0.000183894,0.000183894,0.000183894
88,3720.18,0.71825,0.55681,0.05718,0.61939,0.51736,0.51522,0.18252,0.75374,0.62073,0.06713,0.000181614,0.000181614,0.000181614
89,3762.06,0.6826,0.52003,0.06272,0.50112,0.64583,0.50959,0.21496,0.74786,0.60171,0.06274,0.000179326,0.000179326,0.000179326
90,3805.16,0.69098,0.53965,0.06342,0.60866,0.57639,0.52819,0.19746,0.78029,0.60697,0.06185,0.000177031,0.000177031,0.000177031
91,3846.99,0.64883,0.5505,0.05484,0.55263,0.64583,0.52976,0.21428,0.72298,0.60727,0.05958,0.000174731,0.000174731,0.000174731
92,3888.83,0.63303,0.54739,0.05467,0.53273,0.62847,0.49997,0.20486,0.74425,0.59861,0.06076,0.000172424,0.000172424,0.000172424
93,3930.74,0.66668,0.54125,0.05846,0.60924,0.5576,0.51599,0.21485,0.75398,0.62678,0.06532,0.000170112,0.000170112,0.000170112
94,3973.02,0.63725,0.53001,0.05798,0.55065,0.59028,0.48684,0.18638,0.73847,0.61354,0.06255,0.000167796,0.000167796,0.000167796
95,4014.69,0.63772,0.54486,0.05667,0.60799,0.60764,0.57393,0.22443,0.73579,0.59517,0.05861,0.000165475,0.000165475,0.000165475
96,4060,0.62683,0.53176,0.05682,0.50328,0.64236,0.47226,0.1932,0.72545,0.61164,0.06034,0.000163151,0.000163151,0.000163151
97,4102.25,0.61157,0.52892,0.05444,0.58886,0.65645,0.56499,0.21771,0.72842,0.59426,0.06194,0.000160824,0.000160824,0.000160824
98,4145.01,0.63265,0.53575,0.05559,0.6204,0.60154,0.54313,0.21632,0.75351,0.59657,0.06339,0.000158495,0.000158495,0.000158495
99,4187.21,0.62985,0.52561,0.06178,0.59803,0.61473,0.54209,0.21916,0.72888,0.59929,0.05932,0.000156164,0.000156164,0.000156164
100,4229.07,0.62599,0.55655,0.05459,0.69938,0.61394,0.59142,0.24127,0.69078,0.63329,0.05797,0.000153833,0.000153833,0.000153833
101,4272.07,0.64483,0.5384,0.05503,0.54945,0.67014,0.55174,0.22454,0.71971,0.60473,0.06269,0.0001515,0.0001515,0.0001515
102,4314.07,0.62894,0.51839,0.05248,0.68109,0.6229,0.59671,0.23366,0.69274,0.64376,0.05602,0.000149167,0.000149167,0.000149167
103,4356.1,0.62496,0.51711,0.06533,0.62537,0.67235,0.59129,0.22363,0.74055,0.5866,0.06289,0.000146836,0.000146836,0.000146836
104,4397.97,0.62624,0.52062,0.0566,0.64745,0.65278,0.62042,0.24723,0.72838,0.60806,0.05986,0.000144505,0.000144505,0.000144505
105,4441.07,0.62476,0.52475,0.05741,0.57553,0.66853,0.57726,0.23016,0.7503,0.59749,0.06005,0.000142176,0.000142176,0.000142176
106,4483.63,0.62885,0.50833,0.04836,0.59107,0.64931,0.55962,0.20695,0.77102,0.58534,0.07174,0.000139849,0.000139849,0.000139849
107,4527.11,0.59333,0.52592,0.05758,0.62864,0.65278,0.58385,0.23467,0.73921,0.61152,0.06502,0.000137525,0.000137525,0.000137525
108,4571.75,0.61126,0.51721,0.05027,0.66959,0.64736,0.617,0.23792,0.75548,0.56938,0.06677,0.000135204,0.000135204,0.000135204
109,4614.15,0.61298,0.50625,0.05138,0.69184,0.67041,0.63819,0.26462,0.71564,0.58533,0.05973,0.000132888,0.000132888,0.000132888
110,4658.24,0.60943,0.4943,0.05382,0.62822,0.6875,0.61249,0.2422,0.7402,0.58486,0.06261,0.000130576,0.000130576,0.000130576
111,4703.69,0.60199,0.50967,0.05076,0.61527,0.68403,0.6109,0.24628,0.7397,0.56887,0.06416,0.000128269,0.000128269,0.000128269
112,4746.81,0.58213,0.50737,0.05364,0.77251,0.58956,0.63994,0.26518,0.68415,0.65259,0.05331,0.000125969,0.000125969,0.000125969
113,4791.38,0.5973,0.50665,0.04442,0.66294,0.68056,0.65006,0.27548,0.71861,0.57673,0.0589,0.000123674,0.000123674,0.000123674
114,4837.86,0.60522,0.5157,0.05108,0.6495,0.65278,0.60657,0.26531,0.68785,0.60671,0.05517,0.000121386,0.000121386,0.000121386
115,4881.73,0.63038,0.50934,0.05931,0.68882,0.65278,0.61644,0.27641,0.68645,0.60193,0.05496,0.000119106,0.000119106,0.000119106
116,4925.5,0.6208,0.50185,0.05937,0.63222,0.6685,0.62702,0.24267,0.71892,0.57319,0.05997,0.000116833,0.000116833,0.000116833
117,4968.6,0.64696,0.50262,0.05339,0.68107,0.62153,0.62269,0.24993,0.72609,0.58928,0.05717,0.00011457,0.00011457,0.00011457
118,5011.24,0.63428,0.5059,0.05282,0.62143,0.62153,0.596,0.2231,0.76769,0.58792,0.07017,0.000112315,0.000112315,0.000112315
119,5054.39,0.62662,0.49515,0.07314,0.7074,0.64583,0.62681,0.27542,0.69768,0.60548,0.05546,0.00011007,0.00011007,0.00011007
120,5097.19,0.58302,0.51129,0.05337,0.67754,0.63473,0.61139,0.23557,0.75812,0.57796,0.06837,0.000107835,0.000107835,0.000107835
121,5139.74,0.57657,0.49447,0.04376,0.71957,0.62847,0.64172,0.27555,0.70388,0.6201,0.05483,0.000105611,0.000105611,0.000105611
122,5183.54,0.59195,0.49861,0.05138,0.64053,0.67441,0.61122,0.25698,0.71682,0.56571,0.05905,0.000103398,0.000103398,0.000103398
123,5226.68,0.5736,0.49481,0.05582,0.64377,0.65258,0.62516,0.27156,0.70552,0.57204,0.06044,0.000101197,0.000101197,0.000101197
124,5269.83,0.5662,0.49458,0.0535,0.69978,0.69605,0.65179,0.28391,0.7032,0.56955,0.05893,9.9009e-05,9.9009e-05,9.9009e-05
125,5314.57,0.56482,0.49128,0.0458,0.71007,0.69097,0.66011,0.29519,0.70067,0.56026,0.05757,9.68335e-05,9.68335e-05,9.68335e-05
126,5359.4,0.54528,0.4966,0.04254,0.72958,0.66514,0.64587,0.28834,0.68203,0.57486,0.05435,9.46715e-05,9.46715e-05,9.46715e-05
127,5403.38,0.55809,0.48119,0.04237,0.66575,0.67775,0.63766,0.28363,0.71076,0.56915,0.05796,9.25235e-05,9.25235e-05,9.25235e-05
128,5446.94,0.57047,0.48368,0.04978,0.68675,0.67014,0.63812,0.27625,0.72484,0.55712,0.06036,9.03901e-05,9.03901e-05,9.03901e-05
129,5489.65,0.55758,0.47055,0.04145,0.68171,0.68056,0.6692,0.29477,0.70696,0.55533,0.05636,8.82718e-05,8.82718e-05,8.82718e-05
130,5533.21,0.57007,0.49498,0.04176,0.63066,0.68403,0.63528,0.28106,0.71913,0.56552,0.06008,8.6169e-05,8.6169e-05,8.6169e-05
131,5577.44,0.55694,0.50016,0.04659,0.70124,0.65198,0.65993,0.29308,0.70104,0.57667,0.06077,8.40824e-05,8.40824e-05,8.40824e-05
132,5621.74,0.57856,0.53584,0.04613,0.59135,0.67708,0.5841,0.25668,0.71932,0.5983,0.05747,8.20124e-05,8.20124e-05,8.20124e-05
133,5667.65,0.5707,0.51354,0.05208,0.77662,0.63981,0.68412,0.30166,0.67754,0.59813,0.05328,7.99596e-05,7.99596e-05,7.99596e-05
134,5711.76,0.53863,0.52261,0.03987,0.69992,0.67361,0.67204,0.30487,0.68981,0.55592,0.05415,7.79244e-05,7.79244e-05,7.79244e-05
135,5754.39,0.54149,0.50741,0.05021,0.70379,0.693,0.6631,0.29188,0.70416,0.5639,0.06021,7.59073e-05,7.59073e-05,7.59073e-05
136,5796.35,0.54954,0.50054,0.05756,0.73591,0.6773,0.67239,0.29157,0.6864,0.57718,0.05862,7.3909e-05,7.3909e-05,7.3909e-05
137,5838.14,0.55766,0.48107,0.05387,0.68452,0.72222,0.66898,0.30023,0.69159,0.55977,0.05594,7.19297e-05,7.19297e-05,7.19297e-05
138,5880.21,0.54109,0.48898,0.04859,0.74808,0.68403,0.68775,0.30468,0.68156,0.5754,0.05617,6.99701e-05,6.99701e-05,6.99701e-05
139,5922.16,0.51319,0.47274,0.05718,0.63598,0.71181,0.62235,0.27477,0.71588,0.55914,0.0658,6.80306e-05,6.80306e-05,6.80306e-05
140,5964.14,0.51386,0.47828,0.04562,0.7742,0.68403,0.70758,0.31148,0.69005,0.57715,0.06233,6.61117e-05,6.61117e-05,6.61117e-05
141,6006.85,0.51957,0.47272,0.04948,0.70691,0.6875,0.68885,0.30994,0.70207,0.55057,0.06025,6.42139e-05,6.42139e-05,6.42139e-05
142,6048.78,0.53942,0.45817,0.04832,0.70243,0.70488,0.69511,0.31672,0.69974,0.54119,0.0584,6.23376e-05,6.23376e-05,6.23376e-05
143,6091.46,0.51178,0.47173,0.04829,0.7404,0.68056,0.70411,0.31598,0.70014,0.55328,0.05722,6.04833e-05,6.04833e-05,6.04833e-05
144,6133.37,0.5341,0.46307,0.0599,0.67235,0.70486,0.69572,0.311,0.70453,0.54452,0.05927,5.86515e-05,5.86515e-05,5.86515e-05
145,6175.49,0.51568,0.46125,0.04496,0.72625,0.70009,0.71358,0.3288,0.69692,0.53422,0.0591,5.68425e-05,5.68425e-05,5.68425e-05
146,6218.05,0.51437,0.47106,0.04401,0.70756,0.67014,0.69079,0.31778,0.70307,0.52817,0.05988,5.5057e-05,5.5057e-05,5.5057e-05
147,6260.01,0.49206,0.46129,0.04186,0.77176,0.69271,0.72762,0.33028,0.68437,0.53585,0.05576,5.32952e-05,5.32952e-05,5.32952e-05
148,6302.87,0.52494,0.45099,0.05053,0.72284,0.70139,0.71223,0.33167,0.69866,0.52194,0.05819,5.15576e-05,5.15576e-05,5.15576e-05
