epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
98,2302.95,0.7337,0.51626,0.05956,0.65991,0.61806,0.56844,0.23072,0.78784,0.55015,0.07941,0.000264159,0.000264159,0.000264159
99,2326.92,0.67337,0.53308,0.05403,0.62617,0.63542,0.56438,0.22952,0.7886,0.54943,0.07835,0.000260274,0.000260274,0.000260274
100,2350.14,0.66815,0.53454,0.07016,0.66374,0.58681,0.55147,0.21564,0.77784,0.58296,0.07509,0.000256388,0.000256388,0.000256388
101,2373.39,0.66454,0.5702,0.05685,0.69615,0.57986,0.56019,0.20787,0.78871,0.57544,0.07322,0.0002525,0.0002525,0.0002525
102,2396.55,0.691,0.53351,0.05567,0.60339,0.59375,0.51289,0.20802,0.77751,0.58075,0.0711,0.000248612,0.000248612,0.000248612
103,2419.91,0.70253,0.5326,0.07245,0.63978,0.61111,0.56467,0.22559,0.77217,0.56123,0.06932,0.000244726,0.000244726,0.000244726
104,2443.2,0.69175,0.53283,0.05303,0.59099,0.62847,0.54948,0.22069,0.74911,0.56931,0.06181,0.000240841,0.000240841,0.000240841
105,2466.44,0.68866,0.5862,0.05202,0.48525,0.57639,0.42968,0.14171,0.84205,0.62978,0.08421,0.000236959,0.000236959,0.000236959
106,2489.79,0.7281,0.56995,0.07788,0.63922,0.55556,0.50273,0.19511,0.78547,0.60995,0.06916,0.000233081,0.000233081,0.000233081
107,2512.96,0.7066,0.53425,0.0575,0.55058,0.63382,0.488,0.17167,0.83205,0.55616,0.08709,0.000229208,0.000229208,0.000229208
108,2536.27,0.6652,0.53925,0.08041,0.72006,0.60417,0.57435,0.24407,0.77571,0.57202,0.07803,0.000225341,0.000225341,0.000225341
109,2560.29,0.6627,0.55177,0.06298,0.56379,0.61484,0.5143,0.19742,0.85471,0.54486,0.08324,0.00022148,0.00022148,0.00022148
110,2583.6,0.67948,0.54945,0.05989,0.6394,0.62182,0.54072,0.20445,0.76538,0.56653,0.07121,0.000217627,0.000217627,0.000217627
111,2606.92,0.64807,0.53672,0.0547,0.67507,0.62847,0.5891,0.23,0.75702,0.59023,0.06932,0.000213782,0.000213782,0.000213782
112,2630.16,0.63282,0.535,0.0645,0.6857,0.62874,0.59689,0.23235,0.76014,0.58244,0.06921,0.000209948,0.000209948,0.000209948
113,2653.43,0.64459,0.52052,0.04826,0.5946,0.69097,0.58647,0.24515,0.74675,0.55168,0.07025,0.000206123,0.000206123,0.000206123
114,2677.42,0.6529,0.51571,0.05273,0.71422,0.66319,0.62468,0.24437,0.76831,0.53574,0.0722,0.00020231,0.00020231,0.00020231
115,2700.75,0.63274,0.52537,0.05164,0.64787,0.63246,0.55868,0.22569,0.77309,0.57169,0.07575,0.00019851,0.00019851,0.00019851
116,2724.07,0.6404,0.5193,0.0585,0.60497,0.70139,0.56842,0.23215,0.77857,0.54345,0.07764,0.000194722,0.000194722,0.000194722
117,2747.34,0.63353,0.5119,0.04749,0.73308,0.63194,0.60505,0.26214,0.76947,0.54575,0.07195,0.000190949,0.000190949,0.000190949
118,2771.35,0.62757,0.5436,0.04556,0.67373,0.59375,0.58542,0.23638,0.81603,0.56549,0.07688,0.000187191,0.000187191,0.000187191
119,2794.66,0.63878,0.5317,0.05282,0.69106,0.59028,0.55892,0.23422,0.77787,0.58334,0.07535,0.00018345,0.00018345,0.00018345
120,2817.98,0.60181,0.52037,0.06893,0.71381,0.59722,0.59014,0.23657,0.76105,0.60441,0.0731,0.000179725,0.000179725,0.000179725
121,2841.36,0.60186,0.5292,0.04448,0.56925,0.66667,0.54823,0.23142,0.76651,0.58305,0.06944,0.000176018,0.000176018,0.000176018
122,2864.6,0.64056,0.53706,0.05639,0.5608,0.63542,0.49084,0.21521,0.75134,0.59494,0.07213,0.00017233,0.00017233,0.00017233
123,2887.94,0.61808,0.5509,0.05234,0.59069,0.69097,0.51979,0.21092,0.74835,0.58006,0.07013,0.000168662,0.000168662,0.000168662
124,2911.22,0.60572,0.5472,0.04161,0.60371,0.6875,0.56458,0.2445,0.73469,0.56982,0.06738,0.000165015,0.000165015,0.000165015
125,2934.52,0.61753,0.53631,0.05146,0.68742,0.625,0.59825,0.25016,0.77417,0.57534,0.07664,0.000161389,0.000161389,0.000161389
126,2957.96,0.61994,0.51138,0.05094,0.63422,0.67014,0.61193,0.2645,0.76498,0.55045,0.07351,0.000157786,0.000157786,0.000157786
127,2981.92,0.61999,0.51134,0.04475,0.64537,0.65084,0.61962,0.26107,0.77957,0.54589,0.07151,0.000154206,0.000154206,0.000154206
128,3005.19,0.62428,0.50822,0.06513,0.6685,0.67219,0.61484,0.25525,0.7485,0.54579,0.06794,0.00015065,0.00015065,0.00015065
129,3028.45,0.62921,0.50582,0.06672,0.68906,0.69444,0.65705,0.27168,0.77975,0.52378,0.06982,0.00014712,0.00014712,0.00014712
130,3052.4,0.62114,0.483,0.05634,0.69789,0.67708,0.62209,0.25377,0.75812,0.54736,0.07576,0.000143615,0.000143615,0.000143615
